batch,parent,phase,name,start_time,end_time,duration,duration_string
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 7a - xfire db fabrication init,xfire db fabrication init,2023-10-21T08:43:29.924000,2023-10-21T08:43:59.924000,30.0,30 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 7b - build xfire db data  merge,xfire db fabrication data merge,2023-10-21T08:43:59.924000,2023-10-22T21:43:59.924000,133200.0,1 day 13 hr
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 7c - build xfire db data  merge,xfire db fabrication wrapper structure search,2023-10-22T21:43:59.924000,2023-10-23T09:43:59.924000,43200.0,12 hr
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 7c - build xfire db data  merge,xfire db fabrication summus,2023-10-22T21:43:59.924000,2023-10-24T06:43:59.924000,118800.0,1 day 9 hr
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 8 - create db package,create db package (mkpack),2023-10-24T06:43:59.924000,2023-10-24T07:41:59.924000,3480.0,58 min
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 9 - report xf finish,report xf fab finish,2023-10-24T07:41:59.924000,2023-10-24T07:42:02.024000,2.1,2.1 sec
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 10 - start database test,start database testing,2023-10-24T07:42:02.024000,2023-10-24T10:18:02.024000,9360.0,2 hr 36 min
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 11 - start next export,prepare start next export,2023-10-24T10:18:02.024000,2023-10-24T10:18:02.024000,0.0,36 ms
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 12 - flatfiles and db statistics,create STN,2023-10-24T10:18:02.024000,2023-10-24T12:21:02.024000,7380.0,2 hr 3 min
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 12 - flatfiles and db statistics,prepare document statistics,2023-10-24T10:18:02.024000,2023-10-24T15:10:02.024000,17520.0,4 hr 52 min
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 12 - flatfiles and db statistics,prepare patent substance statistics,2023-10-24T10:18:02.024000,2023-10-24T12:53:02.024000,9300.0,2 hr 35 min
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 12 - flatfiles and db statistics,prepare database record statistics,2023-10-24T10:18:02.024000,2023-10-24T14:08:02.024000,13800.0,3 hr 50 min
2023-10-24_xf230661_xfrun_build7,start db fabrication,step 13 - move to Glacier,refresh lifecycle policy for old build artifacts,2023-10-24T15:10:02.024000,2023-10-24T15:12:01.024000,119.0,1 min 59 sec
2023-10-26_xf230671_xfrun_build8,,complete,db fabrication,2023-10-25T22:54:05.184000,2023-10-26T07:18:34.158000,30268.974,8 hr 24 min 29.0 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 1 - download fab packages,install STN package,2023-10-25T22:54:05.184000,2023-10-25T22:54:05.614000,0.43,0.43 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 1 - download fab packages,install fabrication package,2023-10-25T22:54:05.184000,2023-10-25T22:54:13.584000,8.4,8.4 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 1a - download pat sight data,fetch patent sight data,2023-10-25T22:54:13.584000,2023-10-25T22:54:14.574000,0.99,0.99 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 2 - delete old fabrication relicts,remove old databases and logfiles,2023-10-25T22:54:14.574000,2023-10-25T22:54:18.574000,4.0,4 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 3 - try to remove unused disks,check for disk shrink potential,2023-10-25T22:54:18.574000,2023-10-25T22:54:18.974000,0.4,0.4 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 4 - check previous db,check previous db,2023-10-25T22:54:18.974000,2023-10-25T22:54:19.854000,0.88,0.88 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 5 - prepare environment,update further files,2023-10-25T22:54:19.854000,2023-10-25T22:54:53.854000,34.0,34 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 5 - prepare environment,roll out compound taxonomy,2023-10-25T22:54:19.854000,2023-10-25T22:54:29.854000,10.0,10 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 5 - prepare environment,copy db export to fabrication instance,2023-10-25T22:54:19.854000,2023-10-25T22:59:46.854000,327.0,5 min 27 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 6 - check for potentially missing availability and phpend,check for missing availability and phpend files,2023-10-25T22:59:46.854000,2023-10-25T23:01:47.854000,121.0,2 min 1 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 7a - xfire db fabrication init,xfire db fabrication init,2023-10-25T23:01:47.854000,2023-10-25T23:02:17.854000,30.0,30 sec
2023-10-26_xf230671_xfrun_build8,start db fabrication,step 7b - build xfire db data  merge,xfire db fabrication data merge,2023-10-25T23:02:17.854000,2023-10-25T23:02:17.854000,0,
